2024-11-19T16:14:22.598+0800	ERROR	mysql/mysql.go:24	connect DB failed 	{"error": "Error 1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)"}
2024-11-19T16:18:51.337+0800	INFO	logger/logger.go:90	/api/v1/getsignqr	{"status": 200, "method": "GET", "path": "/api/v1/getsignqr", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0847041}
2024-11-19T16:18:52.816+0800	INFO	logger/logger.go:90	/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js	{"status": 404, "method": "GET", "path": "/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-11-19T16:18:52.980+0800	INFO	logger/logger.go:90	/favicon.ico	{"status": 404, "method": "GET", "path": "/favicon.ico", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-11-19T16:20:57.076+0800	INFO	logger/logger.go:90	/api/v1/getsignqr	{"status": 200, "method": "GET", "path": "/api/v1/getsignqr", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0828745}
2024-11-19T16:20:57.737+0800	INFO	logger/logger.go:90	/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js	{"status": 404, "method": "GET", "path": "/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-11-19T16:23:13.397+0800	INFO	logger/logger.go:90	/api/v1/getsignqr	{"status": 200, "method": "GET", "path": "/api/v1/getsignqr", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0807083}
2024-11-19T16:23:14.480+0800	INFO	logger/logger.go:90	/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js	{"status": 404, "method": "GET", "path": "/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-11-19T16:25:35.369+0800	INFO	logger/logger.go:90	/api/v1/getsignqr	{"status": 200, "method": "GET", "path": "/api/v1/getsignqr", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0802681}
2024-11-19T16:25:36.028+0800	INFO	logger/logger.go:90	/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js	{"status": 404, "method": "GET", "path": "/api/v1/chrome-extension://ajgjlcipleaoaejbgmjccloffcnnhoih/adapter.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0}
2024-11-19T16:26:39.789+0800	INFO	logger/logger.go:90	/api/v1/getsignqr	{"status": 200, "method": "GET", "path": "/api/v1/getsignqr", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36", "errors": "", "cost": 0.0805852}
